# arabic → java  |  script: Arabic  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/kritrima/h2j.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	java
وإلا	vaillaa	else
طالما	taalamaa	while
افعل	ifaela	do
اكسر	iksira	stop
استمر	istamirra	continue
بدل	baddila	switch
صحيح	sahiiha	int
حرف	harfa	char
خاص	khaassa	private
ساكن	saakina	const
