# marathi → java  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/kritrima/h2j.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	java
अन्यथा	anyathaa	else
पर्यंत	parya_nta	while
करा	karaa	do
थांबा	thaa_mbaa	stop
सुरूठेवा	suruutheevaa	continue
निवड	nivada	switch
पूर्णांक	puur_naa_nka	int
अक्षर	ak_sara	char
खाजगी	khaajagii	private
स्थिर	sthira	const
